[21:45:33] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 27.2%, RAM: 22.7%
[21:45:43] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 26.6%, RAM: 22.9%
[21:45:53] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 25.5%, RAM: 23.2%
[21:46:03] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 25.6%, RAM: 23.4%
[21:46:13] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 26.5%, RAM: 23.6%
[21:46:23] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 26.4%, RAM: 23.8%
[21:46:33] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 25.9%, RAM: 23.9%
[21:46:43] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 28.8%, RAM: 24.3%
[21:46:53] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 23.7%, RAM: 24.3%
[21:47:03] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 23.0%, RAM: 24.6%
[21:47:13] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 22.5%, RAM: 24.7%
[21:47:23] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 22.8%, RAM: 24.9%
[21:47:33] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 22.7%, RAM: 25.1%
[21:47:43] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 23.0%, RAM: 25.3%
[21:47:53] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 23.4%, RAM: 25.5%
[21:48:03] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 26.6%, RAM: 25.7%
[21:48:13] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 28.7%, RAM: 25.9%
[21:48:23] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 29.4%, RAM: 26.1%
[21:48:33] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 20.6%, RAM: 26.1%
[21:48:43] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 20.3%, RAM: 26.1%
[21:48:53] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 20.5%, RAM: 26.1%
[21:49:03] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 23.4%, RAM: 26.2%
[21:49:13] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 21.7%, RAM: 26.1%
[21:49:23] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 21.1%, RAM: 26.1%
[21:49:33] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 21.2%, RAM: 26.1%
[21:49:43] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 20.2%, RAM: 26.1%
[21:49:53] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 22.8%, RAM: 26.1%
[21:50:03] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 22.7%, RAM: 26.1%
[21:50:13] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 21.4%, RAM: 26.1%
[21:50:23] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 20.8%, RAM: 26.1%
[21:50:33] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 21.0%, RAM: 26.1%
[21:50:43] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 19.2%, RAM: 26.1%
[21:50:53] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 19.8%, RAM: 26.2%
[21:51:03] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 21.7%, RAM: 26.2%
[21:51:13] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 22.3%, RAM: 26.1%
[21:51:23] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 23.2%, RAM: 26.1%
[21:51:33] 🚀 GPU: 0.0% (0.0GB), GPU利用率: 0%, CPU: 24.3%, RAM: 26.1%
